#  i    j     Ez     Tz    Tzl
   7   58    4.8    4.8    4.8
   7   59    4.9    4.9    4.9
   7   60    3.3    3.3    3.3
   7   61    2.4    2.4    2.4
   7   62    5.5    5.5    5.5
   7   63   10.9   10.9   10.9
   7   64   10.1   10.1   10.1
   7   65    8.6    8.6    8.6
   7   66    7.6    7.6    7.6
   7   67    7.2    7.2    7.2
   7   68    7.1    7.1    7.1
   7   69    6.9    6.9    6.9
   7   70    7.9    7.9    7.9
   7   71   11.7   11.7   11.7
   7   72   13.0   13.0   13.0
   7   73   12.1   12.1   12.1
   7   74   10.8   10.8   10.8
   7   75    9.2    9.2    9.2
   7   76    8.8    8.8    8.8
   7   77    9.8    9.8    9.8
   7   78   11.4   11.4   11.4
   7   79   10.2   10.2   10.2
   7   80    8.3    8.3    8.3
   7   81    8.1    8.1    8.1
   7   82    8.3    8.3    8.3
   7   83    8.5    8.5    8.5
   7   84    8.8    8.8    8.8
   7   85    8.9    8.9    8.9
   7   86    9.0    9.0    9.0
   7   87    9.2    9.2    9.2
   7   88    8.9    8.9    8.9
   7   89    9.2    9.2    9.2
   7   90    9.3    9.3    9.3
   7   91    9.2    9.2    9.2
   7   92   10.1   10.1   10.1
   7   93    3.0    3.0    3.0
   7   94    3.8    3.8    3.8
   7   95    4.7    4.7    4.7
   7   96    5.7    5.7    5.7
   7   97    8.0    8.0    8.0
   7   98    3.4    3.4    3.4
   7   99    4.1    4.1    4.1
   7  100    4.6    4.6    4.6
   8    1    3.1    8.2    3.1
   8    2    2.2    4.8    2.2
   8    3    2.6   11.6    2.6
   8    4    2.4   15.4    2.4
   8    5    2.4    5.0    2.4
   8    6    2.2    2.2    2.2
   8    7    2.2    2.2    2.2
   8    8    2.4    2.4    2.4
   8    9    2.8    5.0    2.8
   8   10    3.0    3.0    3.0
   8   11    3.1    3.1    3.1
   8   12    3.1    3.1    3.1
   8   13    3.2    3.2    3.2
   8   14    3.5    3.5    3.5
   8   15    3.3    3.3    3.3
   8   16    3.3    3.3    3.3
   8   17    3.2    3.2    3.2
   8   18    3.0    3.0    3.0
   8   19    3.0    3.0    3.0
   8   20    3.2    3.2    3.2
   8   21    3.6    4.0    3.6
   8   22    3.5    3.5    3.5
   8   23    3.1    3.1    3.1
   8   24    3.2    3.2    3.2
   8   25    1.8    1.8    1.8
   8   26    1.4    1.4    1.4
   8   27    1.5    1.5    1.5
   8   28    1.9    1.9    1.9
   8   29    7.0    7.0    7.0
   8   30    5.6    5.6    5.6
   8   31    4.1    4.1    4.1
   8   32    4.2    4.2    4.2
   8   33    4.2    4.2    4.2
   8   34    4.3    4.3    4.3
   8   35    4.3    4.3    4.3
   8   36    4.2    4.2    4.2
   8   37    4.3    4.3    4.3
   8   38    4.3    4.3    4.3
   8   39    4.2    4.2    4.2
   8   40    4.2    4.2    4.2
   8   41    4.2    4.2    4.2
   8   42    4.3    4.3    4.3
   8   43    4.3    4.3    4.3
   8   44    4.2    4.2    4.2
   8   45    4.2    4.2    4.2
   8   46    4.3    4.3    4.3
   8   47    4.6    4.6    4.6
   8   48    4.7    4.7    4.7
   8   49    4.8    4.8    4.8
   8   50    4.8    4.8    4.8
   8   51    4.9    4.9    4.9
   8   52    5.0    5.0    5.0
   8   53    5.0    5.0    5.0
